date,Wind_speed,Power,Nacelle_ambient_temperature,Generator_bearing_temperature,Gear_oil_temperature,Ambient_temperature,Rotor_Speed,Nacelle_temperature,Bearing_temperature,Generator_speed,Yaw_angle,Wind_direction,Wheel_hub_temperature,Gear_box_inlet_temperature,Failure_status
24-09-2021,1.75,11.7,62.91,124.29,124.31,66.33,407.43,89.7,143.18,2379.39,169.01,98.9,117,73.52,Failure
30-01-2021,9.06,2.27,40,92.42,81.47,30.66,181.12,36.27,70,1595.49,60,11.06,44.84,15.9,No_failure
20-01-2021,26.84,3.01,1.94,75.34,79.66,-13.09,150.95,60,70,1471.21,30.18,20,45.08,15.03,No_failure
22-08-2021,12.53,3.45,40,87.29,67.79,10.46,260.71,57.68,70,1402.28,22.01,66.96,36.11,10,No_failure
22-02-2021,17.57,2.84,40,85.59,77.65,9.99,157,36.28,70,1455.06,38.35,4.6,19.27,13.12,No_failure
25-03-2021,10.02,3.5,25.91,94.78,56.62,7.18,103.84,55.23,70,1344.64,19.73,182.62,-25.14,11.19,No_failure
21-09-2021,0.16,9.36,55.12,125.66,108.43,60.22,448.74,97.22,144.43,2463.7,160.38,-39.53,108.26,92.93,Failure
19-07-2021,15.78,2.91,40,95.79,90,2.32,50,45.35,70,1575.26,19.38,126.36,80,16.17,No_failure
25-05-2021,10.22,3.49,12.62,79.91,69.27,40,185.99,54.64,100,1572.32,6.41,54.37,28.98,15.32,No_failure
17-07-2021,13.82,3.41,40,74.98,85.67,23.15,200.52,42.18,70,1522.89,10.14,41.87,76.31,11.84,No_failure
03-10-2021,0.81,8.81,54.7,143.3,128.56,83.68,389.73,76.44,135.73,2400.36,163.46,95.46,102.67,96.97,Failure
04-03-2021,17.77,2.99,6.9,92.28,82.81,28.42,195.58,50.42,70,1497.5,12.73,120.86,43.93,14.42,No_failure
20-06-2021,3.39,3.01,40,72.69,68.98,-20,147.17,36.15,100,1630.59,8.88,22.48,46.93,12.56,No_failure
25-07-2021,1.08,11.71,-93.76,132.02,114.81,84.5,445.09,81.87,133.68,2096.57,112.5,-41.93,97.97,105.8,Failure
02-01-2021,3.46,2.74,6.49,79.24,90,-20,253.13,55.77,70,1508.26,54.15,15.45,27.71,12.33,No_failure
15-12-2021,3,2.48,40,71.08,66,-0.85,114.47,41.81,70,1633.02,22.86,29.82,51.04,19.6,No_failure
01-11-2021,30,3.5,40,70.72,58.49,16.25,281.73,40.74,70,1662.97,20.73,31.01,-13.67,14.7,No_failure
04-05-2021,18.29,3.21,11.04,91.99,81.99,-5.08,190.94,42.3,70,1624.59,46.17,0.48,17.11,11.88,No_failure
04-05-2021,20.48,3.06,17.25,91.11,74.94,33.17,240.29,54.1,70,1409.85,60,66.44,70.46,12.27,No_failure
27-01-2021,3,3,9.19,80.24,72.78,20.62,256.12,48.2,89.06,1066.72,57.04,2.27,16.09,11.66,No_failure
20-02-2021,38.68,0.99,-52.72,23.86,127.34,4.46,10.88,-10.45,28.39,454.37,104.85,137.53,-82.03,29.78,Failure
14-07-2021,19.46,2.86,40,76.98,50,10.73,146.06,39.95,100,1518.79,8,36.49,36.76,15.9,No_failure
04-02-2021,14.03,2.79,28.78,82.51,69.36,-4.43,94.76,48.06,70,1455.81,12.12,5.51,40.31,15.23,No_failure
06-01-2021,14.92,2.83,0.33,95.32,62.72,24.46,244.01,41.54,70,1609.98,23.96,57.82,49.67,20,No_failure
26-09-2021,18.85,2.75,40,89.29,80.49,35.17,139.58,60,100,1311.39,0.94,13.17,2.11,19.52,No_failure
03-11-2021,11.78,2.03,11.19,98.44,90,-9.11,116.8,30,70,1652.06,48.95,10.73,5.34,19.23,No_failure
30-10-2021,19.32,2.02,31.93,73.54,70.85,21.77,137.12,40.44,70,1376.67,11.42,63.1,-9.66,16.14,No_failure
26-03-2021,12.25,2.23,40,80.14,84.67,25.28,161.78,59.22,100,1504.81,1.13,39.05,33.11,14.43,No_failure
26-02-2021,26.82,3.17,28.65,76.5,74.24,14.78,214.94,55.38,86.31,1361.46,29.53,58.69,34.18,10,No_failure
20-04-2021,10.92,2.6,1.07,74.83,64.23,25.49,263.29,48.72,100,1366.61,36.03,63.89,16.59,11.46,No_failure
23-02-2021,28.04,2.69,26.99,85.61,64.12,-12.89,152.61,46.03,100,1190.77,60,39.7,75.24,20,No_failure
08-11-2021,18.91,3.22,40,73.25,71.46,-4.18,99.8,45.4,70,1329.57,56.6,3.91,-26.01,19.55,No_failure
07-01-2021,8.95,2.92,40,73.24,64.71,25.36,262.77,51.13,70,1054.55,40.74,84.08,31.36,10.02,No_failure
02-12-2021,1.41,10.43,-62.08,141.27,114.35,64.43,359.99,70.33,148.58,2488.12,132.94,148.94,112.51,112.13,Failure
21-03-2021,10.56,2.77,40,80.85,65.93,7.17,224.46,37.16,100,1233.56,15.79,6.23,16.57,13.22,No_failure
18-11-2021,0.98,11.79,64.33,137.54,121,66.41,393.5,77.6,118.84,2250,122.41,441.35,98.54,89.04,Failure
14-11-2021,25.89,2.68,16.72,86.58,73.82,0.76,184.93,43.71,100,1516.12,10.24,57.64,4.82,13.24,No_failure
13-04-2021,9.86,3.19,40,95.38,76.44,10.65,262.37,36.48,100,1209.67,1.11,35.28,13.2,11.93,No_failure
02-01-2021,29.01,,40,88.33,67.43,-6.66,161.96,56.71,70,1497.9,23.61,245.03,31.07,16.4,No_failure
03-08-2021,17.15,2.31,7.01,94.38,81.03,19.87,168.5,35.07,70,1375.77,0.37,42.73,80,16.45,No_failure
27-08-2021,0.77,9.14,106.99,139.37,124.05,63.45,391.83,88.72,110.69,2059.58,95.05,-190.56,104.28,80.79,Failure
23-07-2021,25,3.18,40,94.13,90,0.57,182.29,55.11,70,1441.78,60,57.1,2.56,16.6,No_failure
10-04-2021,5.64,2.94,38.39,77.65,58.89,-2.92,148.14,40.33,100,1800,21.86,12.66,25.4,14.08,No_failure
15-06-2021,16.96,2.48,23.02,80.05,50,-5.79,201.79,39.22,70,1514.98,16.54,10.75,63.09,17.48,No_failure
07-01-2021,18.2,2,40,82.94,62.12,-12.97,189.18,38.47,70,1000,60,8.26,40.06,14.38,No_failure
07-03-2021,15.89,2.91,1.13,84.31,69.27,12.88,87.42,30,70,1671.32,12.68,43.49,24.16,18.62,No_failure
30-12-2021,42.31,6.24,51.4,81.62,62.65,8.11,120.35,118.75,100,2849.42,60,35.13,40.28,25.83,No_failure
21-01-2021,14.72,3.32,40,79.78,90,11.6,120.37,31.33,71.2,1337.7,17.55,3.53,29.88,15.78,No_failure
29-04-2021,23.28,2.8,28.69,74.6,62.77,11.24,50,49.61,100,1542.84,24.17,26.26,32.21,16.67,No_failure
21-02-2021,27.38,2.21,40,83.14,57.89,21.24,50,36.8,100,1197.96,4.33,14.2,80,14.44,No_failure
24-09-2021,18.03,3.06,16.02,72.46,90,-19.73,105.49,50.92,70,1678.28,3.68,67.01,75.86,15.32,No_failure
06-05-2021,23.85,2.9,8.86,92.11,60.51,6.03,57.07,48.48,70,1495.5,0.09,20.74,19.02,17.7,No_failure
24-08-2021,21.78,2.65,40,83.44,88.21,16.37,157.25,41.28,91.65,1582.98,21.5,88.58,43.13,14.12,No_failure
22-05-2021,12.6,2.1,27.55,83.49,70.09,28.52,300,57.49,100,1449.58,60,30.06,50.78,12.58,No_failure
18-09-2021,20.1,2.91,40,94.11,59.46,22.34,192.39,35.35,75.99,1339.38,25.63,36.77,35.69,12.88,No_failure
09-04-2021,15.92,3.11,40,73.19,62.66,19.11,230.11,42.33,100,1621.36,10.92,93.57,-12.33,13.33,No_failure
07-04-2021,23.68,2.4,40,71.31,72.93,18.68,121.85,45.41,70,1144.66,34.53,62.41,-19.46,14.46,No_failure
21-08-2021,3,3.48,40,74.89,66.45,20.12,107.91,54.24,70,1662.67,12.34,74.3,13.26,19.51,No_failure
16-02-2021,26.33,3.28,1.25,88.32,63.27,24.73,179.84,43.18,70,1205.78,2.18,9.95,3.89,14.75,No_failure
21-10-2021,20.71,2.52,40,76.05,90,40,113.64,51.67,70,1378.57,57.34,23.05,-27.19,15.03,No_failure
21-08-2021,1.04,8.37,67.34,140.61,115.98,62.05,359.16,89.83,125.39,2103.65,110.27,145.44,103.36,94.54,Failure
13-01-2021,16.14,2,40,73.02,56.88,9.36,206.94,40.2,70,1333.84,4.05,40.25,18.97,15.16,No_failure
25-10-2021,22.87,2.08,40,70.5,72.57,37.85,257.32,48.21,70,1000,22.83,16.7,41,18.5,No_failure
14-04-2021,18.29,2.84,17.95,83.75,80.27,-0.6,272.37,47.9,100,1399.35,50.57,224.9,52.84,15.2,No_failure
23-02-2021,9.6,2.47,1.62,78,80.78,7.68,79.16,47.95,70,1110.79,19.34,8.24,46.34,14.52,No_failure
31-08-2021,3,2.31,24.79,95.38,74.49,-20,262.59,49.74,70,1452.31,8.05,13.27,12.65,20,No_failure
08-04-2021,17.16,3.27,40,85.75,50,6.58,148.45,42.38,70,1329.82,16.73,2.39,-37.48,17.12,No_failure
29-01-2021,30,2.86,9.47,80.24,66,0.95,227.63,52.6,70,1492.18,60,4.24,33.58,12.89,No_failure
07-02-2021,29.05,2.78,40,84.59,90,33.66,298.65,54.91,100,1194.55,12.5,84.92,-26.24,19.35,No_failure
25-09-2021,24.53,2.12,2.65,77.57,67.76,3.33,85.97,40.37,100,1426.48,28.36,27.32,17.41,13.71,No_failure
03-08-2021,15.03,2,40,96.43,75.88,16.86,174.4,46.91,70,1750.39,45.43,34.15,-2.96,14.81,No_failure
08-10-2021,19.09,2.28,1.56,90.82,73.51,-5.4,54.52,48.31,100,1001.15,20.32,66.28,-4.26,13.89,No_failure
30-07-2021,22.79,2.54,13.63,78.95,73,12.65,65.56,49.22,70,1267.39,48.39,33.3,-27.71,17.62,No_failure
24-02-2021,42.88,1.1,-32.1,24.32,114.21,-5.66,32.06,-17.26,43.11,794.97,108.14,301.48,-51.23,22.92,Failure
13-03-2021,7.11,3.44,2.75,76.13,52.58,36.29,55.12,48.36,70,1515.62,37.24,4.1,36.64,13.48,No_failure
17-11-2021,27.99,3.05,27.4,80.02,63.22,2.08,230.17,45.04,70,1744.72,31.14,4.9,32.71,16.92,No_failure
13-04-2021,44.83,0.81,-36.36,19.93,109.35,-5.82,3.22,-11.16,40.09,553,161.95,159.71,-73.26,25.33,Failure
29-06-2021,43.12,0.03,-40.74,29.73,103.93,-16.43,3.73,13.45,28.85,563.76,90.38,69.69,-63.93,23.69,Failure
